title,journal,date,abstract
"Pt monolayer shell on hollow Pd core electrocatalysts: Scale up synthesis, structure, and activity for the oxygen reduction reaction",Journal of the Serbian Chemical Society,2013,"We report on synthesis, characterization and the oxygen reduction reaction   (ORR) kinetics of Pt monolayer shell on Pd(hollow), or Pd-Au(hollow) core   electrocatalysts. Comparison between the ORR catalytic activity of the   electrocatalysts with hollow cores and those of Pt solid and Pt hollow   nanoparticles has been obtained using the rotating disk electrode technique.   Hollow nanoparticles were made using Ni or Cu nanoparticles as sacrificial   templates. The Pt ORR specific and mass activities of the electrocatalysts   with hollow cores were found considerably higher than those of the   electrocatalysts with the solid cores. We attribute this enhanced Pt activity   to the smooth surface morphology and hollow-induced lattice contraction, in   addition to the mass-saving geometry of hollow particles."
Novel Porous Nitrogen Doped Graphene/Carbon Black Composites as Efficient Oxygen Reduction Reaction Electrocatalyst for Power Generation in Microbial Fuel Cell,Nanomaterials,2019,"To improve the power generation of a microbial fuel cell (MFC), a porous nitrogen-doped graphene/carbon black (NG/CB) composite as efficient oxygen reduction reaction (ORR) electrocatalyst was successfully synthesized by pyrolyzing graphene oxide (GO) encapsulated CB with cetyltrimethyl ammonium bromide as a bridge. This concept-to-proof synthesis can be considered as a template-like method. Based on this method, one composite named as NG/CB-10 was acquired using the optimized GO-to-CB mass ratio of 10:1. Electrochemical tests demonstrate that NG/CB-10 can catalyze ORR in neutral-pH medium through a four-electron pathway with positively shifted the onset potential, the enhanced current density and reduced charge transfer resistance. CB addition also prolongs the stability of NG/CB-10. The enhancement in electrochemical performance of NG/CB-10 was attributed to the enlarged surface area, abundant mesopores and high content of pyridinic nitrogen. The maximum power density of MFC equipping NG/CB-10 as cathode electrocatalyst reached 936 mW&#183;m<sup>&#8722;2</sup>, which was 26% higher than that of NG and equal to that of platinum/carbon. The cost of NG/CB-10 was reduced by 25% compared with that of NG. This work provides a novel method to synthesize promising ORR electrocatalyst for MFC in the future."
"Alloyed Pt3M (M = Co, Ni) nanoparticles supported on S- and N-doped carbon nanotubes for the oxygen reduction reaction",Beilstein Journal of Nanotechnology,2019,"Sulfur- (S-CNT) and nitrogen-doped (N-CNT) carbon nanotubes have been produced by catalytic chemical vapor deposition (c-CVD) and were subject to an annealing treatment. These CNTs were used as supports for small (â‰ˆ2 nm) Pt3M (M = Co or Ni) alloyed nanoparticles that have a very homogeneous size distribution (in spite of the high metal loading of â‰ˆ40 wt % Pt), using an ionic liquid as a stabilizer. The electrochemical surface area, the activity for the oxygen reduction reaction and the amount of H2O2 generated during the oxygen reduction reaction (ORR) have been evaluated in a rotating ring disk electrode experiment. The Pt3M/N-CNT catalysts revealed excellent electrochemical properties compared to a commercial Pt3Co/Vulcan XC-72 catalyst. The nature of the carbon support plays a key role in determining the properties of the metal nanoparticles, on the preparation of the catalytic layer, and on the electrocatalytic performance in the ORR. On N-CNT supports, the specific activity followed the expected order Pt3Co > Pt3Ni, whereas on the annealed N-CNT support, the order was reversed."
Mitochondrial Protection and Anti-aging Activity of Astragalus Polysaccharides and Their Potential Mechanism,International Journal of Molecular Sciences,2012,"The current study was performed to investigate mitochondrial protection and anti-aging activity of Astragalus polysaccharides (APS) and the potential underlying mechanism. Lipid peroxidation of liver and brain mitochondria was induced by Fe2+â€“Vit C in vitro. Thiobarbituric acid (TBA) colorimetry was used to measure the content of thiobarbituric acid reactive substances (TBARS). Mouse liver mitochondrial permeability transition (PT) was induced by calcium overload in vitro and spectrophotometry was used to measure it. The scavenging activities of APS on superoxide anion (O2â€¢ï_ç) and hydroxyl radical (â€¢OH), which were produced by reduced nicotinamide adenine dinucleotide (NADH)â€”N-Methylphenazonium methyl sulfate (PMS) and hydrogen peroxide (H2O2)â€“Fe2+ system respectively, were measured by 4-nitrobluetetrazolium chloride (NBT) reduction and Fenton reaction colorimetry respectively. The Na2S2O3 titration method was used to measure the scavenging activities of APS on H2O2. APS could inhibit TBARS production, protect mitochondria from PT, and scavenge O2â€¢ï_ç, â€¢OH and H2O2 significantly in a concentration-dependent manner respectively. The back of the neck of mice was injected subcutaneously with D-galactose to induce aging at a dose of 100 mg/kg/d for seven weeks. Moreover, the activities of catalase (CAT), surperoxide dismutase (SOD) and glutathione peroxidase (GPx) and anti-hydroxyl radical which were assayed by using commercial monitoring kits were increased significantly in vivo by APS. According to this research, APS protects mitochondria by scavenging reactive oxygen species (ROS), inhibiting mitochondrial PT and increasing the activities of antioxidases. Therefore, APS has the effect of promoting health."
Heteroatom-doped porous carbon from methyl orange dye wastewater for oxygen reduction,Green Energy & Environment,2018,"Banana peel-derived porous carbon (BPPC) was prepared from banana peel and used as an adsorbent for methyl orange (MO) wastewater removal. BPPC-MO50 is a N,S-doped BPPC obtained via secondary carbonization. The BPPC-MO50 exhibited a high specific surface area of 1774.3Â m2/g. Heteroatom-doped porous carbon (PC) was successfully synthesized from the BPPC absorbed MO at high temperature and used for oxygen reduction. The BPPC-MO50 displayed the highest ORR onset potential among all carbon-based electrocatalysts, i.e., 0.93Â V vs. reversible hydrogen electrode (RHE). This is the first report to describe porous carbon-activated materials from agriculture and forestry waste that is used for adsorption of dyes from wastewater via an enhanced heteroatom (N,S) content. These results may contribute to the sustainable development of dye wastewater treatment by transforming saturated PC into an effective material and has potential applications in fuel cells or as energy sources. Keywords: Banana peel, Dye wastewater, Porous carbon, Heteroatom doping, Oxygen reduction reaction"
A Facile Method for the Preparation of Colored Bi4Ti3O12âˆ’x Nanosheets with Enhanced Visible-Light Photocatalytic Hydrogen Evolution Activity,Nanomaterials,2018,"Bi4Ti3O12&minus;x nanosheet photocatalysts with abundant oxygen vacancies are fabricated by a facile solid-state chemical reduction method for the first time. This method is simple in operation, has short reaction time, and can be conducted at mild temperatures (300~400 &deg;C). The electron paramagnetic resonance, thermogravimetric analysis, X-ray photoelectron spectrometer, and positron annihilation lifetime spectra results indicate that oxygen vacancies are produced in Bi4Ti3O12&minus;x, and they can be adjusted by tuning the reduction reaction conditions. Control experiments show that the reduction time and temperature have great influences on the photocatalytic activities of Bi4Ti3O12&minus;x. The optimal Bi4Ti3O12&minus;x is the sample undergoing the reduction treatment at 350 &deg;C for 60 min and it affords a hydrogen evolution rate of 129 &mu;mol&middot;g&minus;1&middot;h&minus;1 under visible-light irradiation, which is about 3.4 times that of the pristine Bi4Ti3O12. The Bi4Ti3O12&minus;x photocatalysts have good reusability and storage stability and can be used to decompose formaldehyde and formic acid for hydrogen production. The surface oxygen vacancies states result in the broadening of the valence band and the narrowing of the band gap. Such energy level structure variation helps promote the separation of photo-generated electron-hole pairs thus leading to enhancement in the visible-light photocatalytic hydrogen evolution. Meanwhile, the narrowing of the band gap leads to a broader visible light absorption of Bi4Ti3O12&minus;x."
A review of oxygen reduction mechanisms for metal-free carbon-based electrocatalysts,npj Computational Materials,2019,"Abstract The sluggish kinetics of Oxygen Reduction Reaction (ORR) at the cathode in proton exchange membrane fuel cells or metal-air batteries requires highly effective and stable electrocatalysts to boost the reaction. The low abundance and high price of Pt-based electrocatalysts hamper the widespread application of proton exchange membrane fuel cells and metal-air batteries. As promising alternatives, metal-free carbon materials, especially upon doping heteroatoms or creating defects demonstrated excellent ORR activity, which is as efficient as or even superior to commercial platinum on carbon. Significant progress on the development of advanced carbon materials as highly stable and durable catalysts has been achieved, but the catalytic mechanisms of these materials still remain undistinguished. In present review, we summarized the up-to-date progress in the studies of carbon materials, and emphasized on the combination of experiment and theory to clarify the underlying mechanisms of these materials. At last, we proposed the perspectives on the proper strategies of elucidating the mechanisms of carbon materials as electrocatalysts towards ORR."
Investigation of Earth-Abundant Oxygen Reduction Electrocatalysts for the Cathode of Passive Air-Breathing Direct Formate Fuel Cells,Catalysts,2018,"The development of direct formate fuel cells encounters important obstacles related to the sluggish oxygen reduction reaction (ORR) and low tolerance to formate ions in Pt-based cathodes. In this study, electrocatalysts formed by earth-abundant elements were synthesized, and their activity and selectivity for the ORR were tested in alkaline electrolyte. The results showed that carbon-encapsulated iron-cobalt alloy nanoparticles and carbon-supported metal nitrides, characterized by transmission electron microscopy (TEM) and X-ray diffraction (XRD), do not present significant activity for the ORR, showing the same half-wave potential of Vulcan carbon. Contrarily, nitrogen-doped carbon, synthesized using imidazole as the nitrogen source, showed an increase in the half-wave potential, evidencing an influential role of nitrogen in the ORR electrocatalysis. The synthesis with the combination of Vulcan, imidazole, and iron or cobalt precursors resulted in the formation of nitrogen-coordinated iron (or cobalt) moieties, inserted in a carbon matrix, as revealed by X-ray absorption spectroscopy (XAS). Steady-state polarization curves for the ORR evidenced a synergistic effect between Fe and Co when these two metals were included in the synthesis (FeCo-N-C material), showing higher activity and higher limiting current density than the materials prepared only with Fe or Co. The FeCo-N-C material presented not only the highest activity for the ORR (approaching that of the state-of-the-art Pt/C) but also high tolerance to the presence of formate ions in the electrolyte. In addition, measurements with FeCo-N-C in the cathode of an passive air-breathing direct formate fuel cells, (natural diffusion of formate), showed peak power densities of 15.5 and 10.5 mW cm&minus;2 using hydroxide and carbonate-based electrolytes, respectively, and high stability over 120 h of operation."
Green synthesis of nitrogen-doped self-assembled porous carbon-metal oxide composite towards energy and environmental applications,Scientific Reports,2019,"Abstract Increasing environmental pollution, shortage of efficient energy conversion and storage devices and the depletion of fossil fuels have triggered the research community to look for advanced multifunctional materials suitable for different energy-related applications. Herein, we have discussed a novel and facile synthesis mechanism of such a carbon-based nanocomposite along with its energy and environmental applications. In this present work, nitrogen-doped carbon self-assembled into ordered mesoporous structure has been synthesized via an economical and environment-friendly route and its pore generating mechanism depending on the hydrogen bonding interaction has been highlighted. Incorporation of metal oxide nanoparticles in the porous carbon network has significantly improved CO2 adsorption and lithium storage capacity along with an improvement in the catalytic activity towards Oxygen Reduction Reaction (ORR). Thus our present study unveils a multifunctional material that can be used in three different fields without further modifications."
Glial activation in nitrous oxide toxicity is related to oxidative stress and glutamate excitotoxicity,Canadian Journal of Biotechnology,2017,"Myelin disorders can be due to diverse mechanisms such as autoimmune, parainfectious, metabolic or toxic. The prototype of immune mediated demyelination is multiple sclerosis. To understand the underlying mechanism of cell damage in vitamin b12 deficiency, a number of animal models have been used which include total gastrectomy (TGX), cobalamine deficient diet and N2O exposure (Tredici G, et al., 1998;Scalabrino G, 2001). Six adult wistar male rats were exposed to N2O oxygen mixture in 1:1 ratio at a rate of 2 L/min for 120 min for 60 days. The control rats received only oxygen and room air. At the end of exposure, spontaneous locomotor activity (total distance travelled, time resting, time moving, number of rearing, stereotypic count) and grip strength. Plasma glutathione (GSH), total antioxidant capacity (TAC) and serum malonodialdehyde (MDA) and serum homocysteine (Hcy) were measured by spectrophotometer. Glutamate in the cerebral cortex and cerebellum was measured by colorimetry. Immunohistochemistry for GFAP expression in brain and spinal cord was done and quantified using image J software. The N2O exposed rats had significant reduction in total distance travelled, time moving, number of rearing and increased time resting compared to the controls. Hcy, glutamate and MDA levels were increased, and GSH and TAC decreased in N2O exposed group compared to the controls. GFAP was more expressed in N2O exposed group, and its expression was higher in spinal cord compared to brain. The GFAP expression correlated with neurobehavioral changes, oxidative stress and glutamate level.N2O toxicity results in GFAP expression suggesting astrocytic reaction, which is mediated by oxidative stress and excitotoxicity."
Highly dispersed Ag nanoparticles on nanosheets of reduced graphene oxide for oxygen reduction reaction in alkaline media,Electrochemistry Communications,2013,"Uniformly dispersed Ag nanoparticles were successfully obtained on reduced graphene oxide (RGO) through the simultaneous reduction of Ag and graphene oxide (GO) without surfactant by controlling growth of Ag nanoparticles at low temperatures. Using this method, even a high metal loading of 60Â wt.% Ag with a mean diameter of less than 10Â nm could be achieved over the RGO sheets. The oxygen reduction reaction activity was investigated using an RGO-supported Ag catalyst (Ag/RGO) in a 0.1Â M NaOH solution, and the kinetic parameters were determined using the rotating disk electrode (RDE) technique. For comparison, a commercial carbon-supported Ag catalyst (Ag/C) was investigated under identical experimental conditions. Keywords: Silver-based catalyst, Reduced graphene oxide, Oxygen reaction reduction, Alkaline fuel cell"
Constraints on superoxide mediated formation of manganese oxides,Frontiers in Microbiology,2013,"Manganese (Mn) oxides are among the most reactive sorbents and oxidants within the environment, where they play a central role in the cycling of nutrients, metals, and carbon.  Recent discoveries have identified superoxide (O2-) (both of biogenic and abiogenic origin) as an effective oxidant of Mn(II) leading to the formation of Mn oxides. Here we examined the conditions under which abiotically produced superoxide led to oxidative precipitation of Mn and the solid-phases produced. Oxidized Mn, as both aqueous Mn(III) and Mn(III/IV) oxides, was only observed in the presence of active catalase, indicating that hydrogen peroxide, a product of the reaction of O2- with Mn(II), inhibits the oxidation process presumably through the reduction of Mn(III).  Citrate and pyrophosphate increased the yield of oxidized Mn but decreased the amount of Mn oxide produced via formation of Mn(III)-ligand complexes. While complexing ligands played a role in stabilizing Mn(III), they did not eliminate the inhibition of net Mn(III) formation by H2O2. The Mn oxides precipitated were highly disordered colloidal hexagonal birnessite, similar to those produced by biotically generated superoxide.  Yet, in contrast to the large particulate Mn oxides formed by biogenic superoxide, abiotic Mn oxides did not ripen to larger, more crystalline phases.  This suggests that the deposition of crystalline Mn oxides within the environment requires a biological, or at least organic, influence.  This work provides the first direct evidence that, under conditions relevant to natural waters, oxidation of Mn(II) by superoxide can occur and lead to formation of Mn oxides. For organisms that oxidize Mn(II) by producing superoxide, these findings may also point to other microbially mediated processes, in particular enzymatic hydrogen peroxide degradation and/or production of organic ligand metabolites, that allow for Mn oxide formation."
Design and Development of Methanol Sensing MEMS Sensor for DMFC Technology,MATEC Web of Conferences,2018,"The sensors can be developed based on ampherometric principle using Direct Methanol Fuel Cell (DMFC) technology. The synthesis of cost effective electrocatalyst materials for improved oxygen reduction reaction (ORR) and preparing electrodes by using suitable methods to reduce the cost of the sensing electrode is the major objective of the present work. Pt-Sn alloy exhibits high sensitivity in ORR among other Pt alloys and hence will be used as the ORR catalysts. For various concentration of methanol at different temperature, the current density of the chemically synthesised and characterized Pt-Sn/C was analysed. The accuracy will be determined by the detection of electric current or changes in electric current to design the sensor. To analyse the sensor accuracy, we have used passive mode design protocol in COMSOL Multiphysics. From the constructed cell of 1.0 cm cell area, we can optimize the overall power density and hence the sensitivity of the sensor by the modification of the cell parameters and interfacing it with Darcyâ€™s law of fluidic flow through porous electrode medium. The micro electro mechanical systems (MEMS) technology was used for the design and fabrication of sensor with the electrochemical inputs from a standard DMFC single cell arrangement. The cell structure has been fabricated using a 3D printing technology and the output of the cell was optimized for ampherometric detection. The sensor with microfludic interconnects were fabricated by MEMS technology. The sensor response characteristics were studied and will be presented."
One-Dimensional Simulation of the In-Situ Oil Combustion with Consideration to Fluid and Solid Combustible Components,IzvestiÃ¢ VysÅ¡ih UÄçebnyh Zavedenij i ÃˆnergetiÄçeskih ob Edinennij SNG. Ãˆnergetika,2019,"The one-dimensional axisymmetric problem of initiation of a combustion wave in an oil-saturated reservoir is solved numerically. Two combustible components, viz. liquid (oil) and solid (kerogen, oil sorbate) were considered. The influence of the abovementioned components on time of the hot site ignition and combustion front speed was simulated and analyzed. It was demonstrated that growth of the mass fraction of liquid component (the total heat content being preserved) results in retard of formation of the hot site near the well and in reduction of the maximum temperature of the combustion wave, disregarding of the higher reactivity of liquid combustible. Simulation revealed existence of the two â€œpeaksâ€ù of thermal front velocity. The first one corresponds by time to ignition of combustion site. The second one corresponds to a moment when the solid component combustion front overrides the oil displacement front. Calculations shown, that thermal wave propagation velocity, at least after passing the â€œpeaksâ€ù and transition to quasi-steady regime, does not considerably depend on mass traction of the fluid component in the system. A typical term of the exothermic reaction site formation may increase from 50 to 200 days in case of growth of the liquid component content from 30 to 80 mass % at the considered thermal conditions in the oil reservoir. Thus, the implementation of the thermo-gas method in high-productive layers increases the likelihood of difficulty of initiation of a fire. Therefore, the study of the regularities of intra-combustion in such cases is of a particular interest. For instance, the task of combustion site ignition may be resolved by increase of oxygen content in blowing-gas or by means of non-steady (periodical) blowing. It is found that taking into consideration of highly reactive liquid component results in widening (diffusion) of the thermal front, which may play positive role in its spatial thermo-hydrodynamic stabilization. The results of simulation may be utilized for development of technical projects of oil recovery via in-situ combustion, for designing of furnaces utilizing multicomponent fixed layer fuels and for thermochemical investigation of multicomponent fuels."
Sulfur-containing carbon by flame synthesis as efficient metal-free electrocatalyst for oxygen reduction reaction,Electrochemistry Communications,2013,"Sulfur-containing carbon soot is prepared for the first time through simple flame synthesis by burning flammable thiophene, and it exhibits excellent catalytic activity for oxygen reduction reaction in alkaline media. The flame synthesis provides not only a rapid single step low-cost approach, but also very efficient and scalable methodology for metal-free sulfur-containing carbons with good control on the sulfur content. Keywords: Sulfur-containing carbon, Flame pyrolysis, ORR electrocatalyst"
Preparation of Bimetallic Pd-Co Nanoparticles on Graphene Support for Use as Methanol Tolerant Oxygen Reduction Electrocatalysts,"Engineering, Technology & Applied Science Research",2012,"Graphene-supported (40-x) wt% Pd x wt% Co (0â‰_xâ‰_13.33) alloys/composites have been prepared by a microwave-assisted polyol reduction method and been investigated for their structural and electrocatalytic properties for the oxygen reduction reaction (ORR) in 0.5 M H2SO4 at 298 K. The study demonstrated that the bimetallic Pd-Co composite nanoparticles are, in fact, alloy nanoparticles with fcc crystalline structure. Partial substitution of Pd by Co (from 3.64 to 13.33 wt%) in 40 wt% Pd/graphene decreases the lattice parameter as well as the crystallite size and increases the apparent catalytic activity, the latter, however, being the greatest with 8 wt% Co. The ORR activity of the active 32 wt% Pd 8wt% Co is found to be considerably low when it was deposited on the support multiwall carbon nanotubes under similar conditions. The rotating disk electrode study indicated that the ORR on 32 wt% Pd 8 wt% Co/GNS in 0.5 M H2SO4 follows approximately the four-electron pathway."
PdPt alloy nanocubes as electrocatalysts for oxygen reduction reaction in acid media,Electrochemistry Communications,2015,"In this work, PdPt alloy nanocubes with different metal ratios were synthesised in the presence of polyvinylpyrrolidone (PVP). The surface morphology of the PdPt samples was characterised by transmission electron microscopy (TEM). TEM images showed that PdPt nanoparticles were cubic-shaped and the average size of the cubes was about 8â€“10Â nm. Their electrocatalytic activity towards the oxygen reduction reaction (ORR) was studied in 0.5Â M H2SO4 using the rotating disc electrode method. All the alloyed catalysts showed enhanced electrocatalytic activity for ORR as compared to the monometallic cubic Pd nanoparticles. Half-wave potential values for PdPt catalysts were comparable with that of Pt nanocubes. From the alloyed catalysts Pd36Pt64 exhibited the highest specific activity, which was only slightly lower than that of cubic Pt nanoparticles. The Kouteckyâ€“Levich analysis revealed that the reduction of oxygen proceeded via 4-electron pathway on all the electrocatalysts studied. Keywords: PdPt alloy nanoparticles, Oxygen reduction, Electrocatalysis, Shape-controlled nanocubes, Bimetallic catalysts"
Improved lifetime of PEM fuel cell catalysts through polymer stabilization,Electrochemistry Communications,2009,"A novel approach to increase lifetime of Pt/C catalysts was demonstrated and shown that Nafion-stabilized Pt catalyst (denoted here as Nafion-Pt/C) synthesized by a colloid route gives rise to an enhanced durability as compared to a conventional Pt/C catalysts commonly used in PEM fuel cell. A high catalytic activity of the catalyst is also observed by both CV (cyclic voltammetry) and ORR (oxygen reduction reaction) measurements. This catalyst durability in comparison with conventional Pt/C is increased directly by electrochemically-accelerated durability test (ADT). The loss rate of electrochemical active area (ECA) for Nafion-Pt/C catalysts is only 0.004Â m2Â gâˆ’1Â cycleâˆ’1, compared to a value of 0.012Â m2Â gâˆ’1Â cycleâˆ’1 for Pt/C. This indicates the catalyst is three times higher durability than Pt/C. Keywords: Fuel cell, Catalyst, Catalyst durability, Nafion-stabilized Pt catalyst"
Electrochemical Reduction of Oxygen on Anthraquinone/Carbon Nanotubes Nanohybrid Modified Glassy Carbon Electrode in Neutral Medium,Journal of Chemistry,2013,The electrochemical behaviors of monohydroxy-anthraquinone/multiwall carbon nanotubes (MHAQ/MWCNTs) nanohybrid modified glassy carbon (MHAQ/MWCNTs/GC) electrodes in neutral medium were investigated; also reported was their application in the electrocatalysis of oxygen reduction reaction (ORR). The resulting MHAQ/MWCNTs nanohybrid was characterized by scanning electron microscope (SEM) and transmission electron microscope (TEM). It was found that the ORR at the MHAQ/MWCNTs/GC electrode occurs irreversibly at a potential about 214â€‰mV less negative than at a bare GC electrode in pHâ€‰7.0 buffer solution. Cyclic voltammetric and rotating disk electrode (RDE) techniques indicated that the MHAQ/MWCNTs nanohybrid has high electrocatalytic activity for the two-electron reduction of oxygen in the studied potential range. The kinetic parameters of ORR at the MHAQ/MWCNTs nanohybrid modified GC electrode were also determined by RDE and EIS techniques.
